caves_id;WKT;name
238;POINT (417929.239790293 5456423.74101645);Tatowa Szczelina
239;POINT (417868.916662601 5455749.1958142);Żwirowa Dziura Wyżnia
240;POINT (418139.130260506 5455241.4948168);Dziura w Żdziarach
241;POINT (417922.345031749 5455230.74628719);Jaskinia Zimna
242;POINT (417770.612256324 5455579.18386665);Okno w Zamczysku
243;POINT (417765.067823578 5455595.91210141);Dziura w Organach Pierwsza
244;POINT (417772.731457503 5455552.93320615);Nyża z Dzięglem
245;POINT (417767.243458155 5455498.40896398);Dziura w Organach Siódma
246;POINT (417393.976685237 5455755.19203953);Schron przed Sową Drugi
247;POINT (417634.687346105 5455852.23516151);Szczelina pod Tunelem Pawlikowskiego
248;POINT (417627.364816422 5455787.56441031);Dziura pod Oknem
249;POINT (417342.953439662 5455961.40750503);Szczelina nad Mostkiem
250;POINT (417670.553054901 5455974.00948399);Szczelina za Okrętem Trzecia
251;POINT (417671.939506406 5455991.75719423);Szczelina za Okrętem Druga
252;POINT (417671.754224047 5455898.60347002);Schron ze Świeczką
253;POINT (417647.79291752 5455898.18363526);Jaskinie Między Żleby
254;POINT (417620.252419506 5455878.9371092);Korytarz do Jaskini Naciekowej
255;POINT (417623.671802801 5455899.24514803);Jaskinia Goryckiego
256;POINT (417603.948935442 5455922.30137433);Wąska Szczelina
257;POINT (417747.329629089 5455786.45955607);Lejek
258;POINT (417855.826122234 5455747.06727711);Żwirowa Dziura Niżnia
259;POINT (417840.1569751 5455740.91876849);Schron między Żwirowymi Dziurami
260;POINT (417860.499083256 5455561.70775768);Dziura w Organach Czwarta
261;POINT (417834.854754988 5455559.33297756);Dziura w Organach Druga
262;POINT (417836.423441254 5455502.03474298);Dziura w Organach Trzecia
263;POINT (417800.623062441 5455538.10614206);Szczelina z Mostkiem
264;POINT (417695.888751117 5455545.5422324);Bardzo Niska Nyża
265;POINT (417712.944421684 5455552.35900616);Jaskinia pod Murem
266;POINT (417753.906523017 5455607.46490829);Dziura w Organach Piąta
267;POINT (417731.274935443 5455621.09055931);Dziura w Organach Szósta
268;POINT (417376.977048872 5455619.23712677);Schron przed Sową Pierwszy
269;POINT (417723.302736638 5455782.17088756);Szczelina nad Jaskinią Zimną
270;POINT (417725.302839293 5455800.07621612);Zbójnicka Nyża
271;POINT (417767.333992695 5455834.29551801);Schron przy Jaskini Naciekowej
272;POINT (417763.929380624 5455791.55981156);Jaskinia pod Ostrewką
273;POINT (417802.813718306 5455800.29678437);Jaskinia Balkonowa
274;POINT (417804.26552095 5455781.99518409);Korytarz z Różą
275;POINT (417776.102922049 5455772.75330807);Jaskinia Krwawego Nosa
276;POINT (417815.176857768 5455840.48585829);Przelot
277;POINT (417329.887007899 5455460.27265675);Zimna Szczelina Trzecia
278;POINT (417370.154331085 5455537.64686547);Zimna Szczelina Druga
279;POINT (417370.128393876 5455608.16515656);Sowia Jama Pierwsza
280;POINT (417375.588621975 5455594.15083871);Sowia Jama Trzecia
281;POINT (417361.987147122 5455598.7582422);Sowia Jama Druga
282;POINT (417397.596257647 5455590.89615448);Zimna Szczelina Pierwsza
283;POINT (416088.596684628 5455122.7846199);Dziurka od Klucza
284;POINT (416268.454680192 5455088.12252674);Rura Kominiarska
285;POINT (416338.259983931 5455018.91138168);Jaskinia w Kociołku pod Bandziochem
286;POINT (416325.606995294 5455034.71510022);Trzyotworowy Kominek przy Bandziochu
287;POINT (416308.205142246 5455028.34145522);Kominek przy Bandziochu
288;POINT (417291.339756298 5455520.2060131);Schron pod Kazalnicą
289;POINT (417247.89250639 5455507.39372498);Dziura pod Kazalnicą
290;POINT (417307.52734571 5455423.17022473);Wiciowy Schron
291;POINT (417124.921719856 5455487.68382367);Kopalnia Maturka
292;POINT (417130.443979209 5455532.45553486);Wielka Nyża
293;POINT (416981.707909049 5455501.91754244);Otwarty Schron
294;POINT (416860.347256038 5455508.40834533);Dziura w Stołach
295;POINT (416804.467403245 5455520.29409675);Jaskinia Zawaliskowa w Stołach
296;POINT (416315.491370404 5455086.20638311);Nisza Wschodnia
297;POINT (416433.146045231 5455085.79780649);Nyża pod Bandziochem
298;POINT (416408.163122861 5455070.13207516);Szczelina pod Bandziochem
299;POINT (416398.659490813 5455264.54053409);Szczelina przy Bandziochu
300;POINT (416275.390006487 5455180.32896798);Schronisko pod Trawersem w Żeleźniaku Drugie
301;POINT (416301.753478863 5455172.84508698);Schronisko pod Trawersem w Żeleźniaku Pierwsze
302;POINT (413544.284168872 5455458.30019239);Piwnica
303;POINT (413587.643238268 5455375.81394436);Szczelina Chochołowska
304;POINT (413528.012693613 5455401.69121891);Schron przy Szczelinie
305;POINT (414462.409754535 5457113.39357696);Wojtkowa Szpara
306;POINT (414604.704855457 5458982.04130919);Siwiańska Dziura
307;POINT (426892.499757304 5455717.07686874);Jaskinia Magurska
308;POINT (423131.891904906 5458182.93523107);Schron nad Dziurą Wyżnią
309;POINT (423111.273062057 5458235.51587849);Dziura
310;POINT (423127.347666223 5458201.88983858);Lisia Jama
311;POINT (423130.251689424 5458183.74760303);Dziura Wyżnia
312;POINT (421048.972931985 5453352.2387819);Kresanica
313;POINT (420798.943755246 5453650.20340239);Vyšná Kresanica
314;POINT (420969.619565492 5453430.39792198);Nová Kresanica
315;POINT (422084.25132266 5453205.73676248);Občasná vyvieračka
316;POINT (414174.1035484 5455687.84320196);Szczelina nad Jaskinią w Dudzińcu
317;POINT (419008.3335015 5453971.9688155);Studnia Kuturniańska
318;POINT (416110.456778427 5454845.09296616);Jaskinia nad Smytnią
319;POINT (431180.041657383 5449392.37746147);Jaskinia przy Studni w Mnichu
320;POINT (424147.288075857 5457442.49459487);Koleba nad Doliną Białego
321;POINT (433693.994961306 5455041.82261803);Jaskinia Wołoszyńska Niżnia
322;POINT (433683.088605921 5455016.2816);Jaskinia Wołoszyńska Wyżnia
